,Seq Num,Obs ID,Instrument,Grating,Appr Exp ,Exposure ,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode ,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Gname
364,401119,11084,ACIS-S,NONE,15.0,14.57,IC 10,Laycock,5.072,59.303999999999995,archived,VFAINT,TE,12.45048,181367.0,5/21/2010 18:52,5/23/2011 19:09,11400795,BH AND NS BINARIES,GO,11,11,None,IC 0010
365,401120,11085,ACIS-S,NONE,15.0,14.86,IC 10,Laycock,5.072,59.303999999999995,archived,VFAINT,TE,12.42257161,184582.0,7/20/2010 10:48,7/21/2011 6:14,11400795,BH AND NS BINARIES,GO,11,11,None,IC 0010
366,401121,11086,ACIS-S,NONE,15.0,14.86,IC 10,Laycock,5.072,59.303999999999995,archived,VFAINT,TE,12.48008547,185442.0,9/5/2010 15:08,9/9/2011 7:43,11400795,BH AND NS BINARIES,GO,11,11,None,IC 0010
367,501189,11104,ACIS-S,NONE,10.0,9.92,SN 2004am,Chiang,148.944,69.67699999999999,archived,VFAINT,TE,14.47706277,143612.0,6/17/2010 3:14,6/18/2011 7:10,11500373,SN, SNR AND ISOLATED NS,GO,11,11,M82
368,600779,11260,ACIS-S,NONE,95.0,93.55,NGC 2903,Swartz,143.042,21.500999999999998,archived,FAINT,TE,7.577588229,708875.0,3/7/2010 4:42,3/10/2011 7:10,11610278,NORMAL GALAXIES,GO,11,11,None,NGC 2903
369,600787,11268,ACIS-S,NONE,43.0,40.58,NGC3115,Irwin,151.308,-7.718999999999999,archived,VFAINT,TE,13.40175502,543848.0,1/27/2010 0:41,2/1/2011 8:39,11610615,NORMAL GALAXIES,GO,11,11,None,NGC 3115
370,600791,11272,ACIS-S,NONE,70.0,69.07,NGC 1291,Fabbiano,49.283,-41.08,archived,VFAINT,TE,7.677985586,530338.0,5/4/2010 19:59,5/6/2011 8:42,11620112,NORMAL GALAXIES,GO,11,11,None,NGC 1291:[LFF2012] 084
371,600792,11273,ACIS-S,NONE,50.0,49.32,NGC 1291,Fabbiano,49.367,-41.138999999999996,archived,VFAINT,TE,7.766716386000001,383067.0,5/8/2010 2:52,5/9/2011 9:02,11620112,NORMAL GALAXIES,GO,11,11,None,NGC 1291:[LFF2012] 084
372,600808,11289,ACIS-S,NONE,9.41,9.4,KUG 1013+381,Prestwich,154.102,37.913000000000004,archived,VFAINT,TE,4.371342113,41101.0,1/24/2010 12:44,1/27/2011 7:00,11620601,NORMAL GALAXIES,GO,11,11,HST,KUG 1013+381
373,600814,11295,ACIS-S,NONE,5.0,5.01,UGCA 292,Prestwich,189.667,32.766999999999996,archived,VFAINT,TE,4.347281308,21769.0,11/6/2009 14:55,11/9/2010 6:36,11620601,NORMAL GALAXIES,GO,11,11,HST,UGCA 292
374,600828,11309,ACIS-S,NONE,60.0,58.33,NGC 7814,Kundu,0.779,16.105999999999998,archived,FAINT,TE,7.696728117999999,448986.0,9/1/2009 19:33,9/3/2010 6:50,11620895,NORMAL GALAXIES,GO,11,11,None,NGC 7814
375,600830,11311,ACIS-S,NONE,40.0,38.53,NGC 2683,Kundu,133.125,33.443000000000005,archived,FAINT,TE,6.784193257,261383.0,1/5/2011 17:47,1/7/2012 8:22,11620895,NORMAL GALAXIES,GO,11,11,None,NGC 2683
376,600836,11317,ACIS-S,NONE,3.5,3.22,NGC4733,Gallo,192.778,10.912,archived,VFAINT,TE,13.38490418,43074.0,2/28/2010 20:43,3/1/2010 7:30,11620915,NORMAL GALAXIES,GO,11,11,None,NGC 4733
377,800901,11761,ACIS-I,NONE,13.0,12.35,ACO 1560,Rykoff,188.47099999999998,15.195,archived,VFAINT,TE,4.247938233,52478.0,11/12/2009 18:49,11/14/2010 2:46,11800852,CLUSTERS OF GALAXIES,GO,11,11,None,ACO 1560
378,900917,11782,ACIS-S,NONE,30.0,28.67,NGC3384,Gultekin,162.07,12.629000000000001,archived,FAINT,TE,13.82886288,396505.0,1/19/2010 11:29,1/24/2011 9:09,11900514,EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS,GO,11,11,NRAO,NGC 3384
379,900921,11786,ACIS-S,NONE,30.0,28.67,NGC7457,Gultekin,345.25,30.145,archived,FAINT,TE,13.33282179,382264.0,9/11/2009 1:39,9/14/2010 7:20,11900514,EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS,GO,11,11,NRAO,NGC 7457
380,600738,11800,ACIS-S,NONE,17.0,16.82,M82,Strickland,149.033,69.65899999999999,archived,VFAINT,TE,10.37311727,174519.0,7/20/2010 15:28,8/1/2011 13:06,10610785,NORMAL GALAXIES,GO,10,10,None,MESSIER 082
381,702294,11846,ACIS-I,NONE,5.0,4.69,Centaurus A,Murray,201.41400000000002,-43.063,archived,FAINT,TE,10.02509447,47034.0,4/26/2010 21:14,4/27/2011 15:12,11700017,ACTIVE GALAXIES AND QUASARS,GTO,11,11,None,NGC 5128
382,702295,11847,ACIS-I,NONE,5.0,4.99,Centaurus A,Murray,201.303,-42.998000000000005,archived,FAINT,TE,9.269587205,46215.0,9/16/2010 17:35,9/17/2011 10:04,11700017,ACTIVE GALAXIES AND QUASARS,GTO,11,11,None,NGC 5128
383,600787,12095,ACIS-S,NONE,82.0,75.68,NGC3115,Irwin,151.308,-7.718999999999999,archived,VFAINT,TE,13.28369579,1005339.0,1/29/2010 14:27,2/1/2011 8:39,11610615,NORMAL GALAXIES,GO,11,11,None,NGC 3115
384,702325,12155,ACIS-I,NONE,5.0,4.99,Centaurus A,Murray,201.449,-42.979,archived,FAINT,TE,6.003033251000001,29937.0,12/22/2010 12:15,12/23/2011 16:59,12700027,ACTIVE GALAXIES AND QUASARS,GTO,12,12,None,NGC 5128
385,702326,12156,ACIS-I,NONE,5.0,4.99,Centaurus A,Murray,201.32299999999998,-43.032,archived,FAINT,TE,5.057781898,25254.0,6/22/2011 20:11,6/23/2012 14:07,12700027,ACTIVE GALAXIES AND QUASARS,GTO,12,12,None,NGC 5128
386,600919,12238,ACIS-I,NONE,65.0,63.0,NGC 300,Williams,13.713,-37.65,archived,VFAINT,TE,6.6080915010000005,416308.0,9/24/2010 2:57,9/27/2011 6:45,12620858,NORMAL GALAXIES,GO,11,12,None,NGC 0300
387,600920,12239,ACIS-S,NONE,100.0,98.26,NGC 404,Williams,17.363,35.718,archived,VFAINT,TE,6.855671993,673609.0,10/21/2010 4:02,10/25/2011 6:20,12620858,NORMAL GALAXIES,GO,11,12,None,NGC 0404
388,501370,12301,ACIS-S,NONE,79.0,78.05,SN 1993J,Dwarkadas,148.85299999999998,69.02,archived,FAINT,TE,14.39953599,1123864.0,8/18/2010 13:52,8/20/2011 14:49,12500689,SN, SNR AND ISOLATED NS,GO,11,12,M81
389,401178,12437,ACIS-S,NONE,5.0,4.99,NGC 247,Feng,11.741,-20.76,archived,FAINT,TE,11.79044163,58816.0,2/1/2011 14:31,2/3/2012 6:06,12400297,BH AND NS BINARIES,GO,12,12,HST,NGC 0247
390,401214,12473,ACIS-I,NONE,20.0,19.78,NGC 4861,Yang,194.748,34.907,archived,FAINT,TE,5.91051697,116926.0,1/3/2012 16:29,1/4/2013 10:41,12400837,BH AND NS BINARIES,GO,12,12,None,NGC 4861
