band_id,Region,X,Y,Radius,Annulus_Inner_Radius,Annulus_Outer_Radius,Net Flux (Jy),Flux Uncertainty,Flag,aperture_sum,tot_bg,Target Counts,Target Flux,Annulus Counts,Annulus Flux,Image Data Shape,Mask Shape,Mask Type,Non-zero mask elements,Flux Conv,MzpInstr,Offset in Arcseconds,Exists?,Point Source Position,Target Error,Annulus Error,Overlap Error (in counts),Overlap Counts
{'W3'},4,356.61229617616186,260.11844049158367,9,16,23,0.0008202270944556722,0.0011635669000106244,Valid,125187.71888095365,0.3608099285969867,125187.71888095365,0.36163015569144236,420971.9853055133,1.216063092678733,"(369, 437)","(369, 437)",bool,241,31.674,17.6,[],No,[],0.0010220773765130416,0.0018742585908115765,[],
{'W3'},5,337.953951658367,77.23204321131463,9,16,23,1.6458285382880966e-06,0.0011570451182077051,Valid,123724.18636024368,0.3574007988857027,123724.18636024368,0.357402444714241,416994.4115499797,1.2045730629110722,"(369, 437)","(369, 437)",bool,251,31.674,17.6,[],No,[],0.0010160854106010552,0.0018653830652838488,[],
{'W3'},6,281.14775496044336,141.03078982251745,9,16,23,0.0018455634839235624,0.00116425661026193,Valid,125417.31382376411,0.36044782383803914,125417.31382376411,0.3622933873219627,420549.5025876578,1.214842665528206,"(369, 437)","(369, 437)",bool,219,31.674,17.6,[3.993322999826168],Yes!!,"[(283.46881246673087, 139.2851459031614)]",0.001023014194851904,0.0018733178623763218,[],
{'W3'},7,277.2371378278582,287.356363815867,9,16,23,0.00010778181904697037,0.0011684739053790497,Valid,126188.84921951924,0.36441434221752683,126188.84921951924,0.3645221240365738,425177.40493906155,1.228211301547961,"(369, 437)","(369, 437)",bool,254,31.674,17.6,[8.265612207093067],Point Source Detected,"[(277.39853216974836, 281.3471763683028)]",0.001026156031799099,0.0018835970466760462,[],
{'W3'},8,271.08563927855295,171.90811985561467,9,16,23,0.0007887931394637282,0.0011705018935631206,Valid,126681.16590086588,0.3651554876367355,126681.16590086588,0.3659442807761992,426042.1301968661,1.2307092361089975,"(369, 437)","(369, 437)",bool,253,31.674,17.6,[4.087011969382882],Yes!!,"[(268.80396961634534, 173.81310834210194)]",0.001028155820012922,0.0018855115023881867,[],
{'W3'},9,270.5375737979876,254.12560497500385,9,16,23,0.004937166247611202,0.0011891286751338059,Valid,131071.71534397753,0.3736901084586341,131071.71534397753,0.3786272747062453,435999.8281050004,1.2594740692494706,"(369, 437)","(369, 437)",bool,226,31.674,17.6,[],No,[],0.0010458211101917042,0.0019074188552174551,[],
{'W3'},11,244.42268676214448,191.59675766724166,9,16,23,0.010709491375046065,0.0012012905438902586,Valid,134215.6942371512,0.37699980500866254,134215.6942371512,0.3877092963837086,439861.389046081,1.2706289724366036,"(369, 437)","(369, 437)",bool,256,31.674,17.6,[0.6372828878546131],Yes!!,"[(244.13097064596934, 191.95691596580338)]",0.001058289685763033,0.0019158470432211762,[],
{'W3'},13,230.85588144617907,154.74216664805692,9,16,23,0.00450491040522627,0.0011779983670201775,Valid,128602.56981136694,0.36698973586618133,128602.56981136694,0.3714946462714076,428182.2240731495,1.236891331993426,"(369, 437)","(369, 437)",bool,255,31.674,17.6,[9.25523060784886],Point Source Detected,"[(224.3183727643243, 153.13955114294833)]",0.0010359236209390122,0.00189024121883568,[],
{'W3'},14,227.71563951450554,346.9007995959165,9,16,23,0.005837196555936008,0.0011554000713607567,Valid,123834.85599520443,0.35188493987949726,123834.85599520443,0.35772213643543327,410558.8288997548,1.1859825751494169,"(369, 437)","(369, 437)",bool,256,31.674,17.6,[],No,[],0.0010165397464500744,0.0018509326243854906,[],
{'W3'},22,168.96990674954895,25.773980081745414,9,16,23,0.0005890459288671601,0.0011575263648158317,Valid,123873.65601640107,0.3572451722493408,123873.65601640107,0.357834218178208,416812.8354655011,1.2040485435070376,"(369, 437)","(369, 437)",bool,250,31.674,17.6,"[5.915797833842992, 0.35389129096326516]",Yes!!,"[(164.75538072324719, 24.908877144643192), (169.08989215094977, 25.546283693482643)]",0.0010166989854397612,0.001864976889776984,[],
