srcid,src_num,detid,observation_id,observation_oid,ra,dec,duration,IAUNAME,ra_2,dec_2,IAUstripped,MJD,FIBERID,PLATE,CSC21P_name,CHANDRA_OBSID, OBSDATE, TIME
204049656010024,25,105539108010025,0553910801,60899,34.816987088662,-5.9571688478912,12057,4XMM J021916.0-055726,34.8169446204725,-5.957480019173027,J021916.0-055726,55866.0,615.0,4391.0,2CXO J021916.0-055726,23740,2020-10-31,7.0
201128101010074,72,108612502010072,0861250201,70671,172.26461275488,58.535642844994,41534,4XMM J112903.3+583208,172.26442275855004,58.53573348327514,J112903.4+583208,56666.0,471.0,7099.0,2CXO J112903.4+583208,6227,2005-02-14,10.2
208273305010008,21,108638102010021,0863810201,70785,187.46796696435,11.677220986696,30762,4XMM J122952.3+114038,187.46800160071007,11.677433306180394,J122952.3+114038,53166.0,170.0,1615.0,2CXO J122952.3+114038,10241,2009-02-22,29.4
201451902010030,38,109130802010038,0913080201,72824,229.06691097025,56.28390558918,69764,4XMM J151616.0+561701,229.0670223994407,56.283780157629536,J151616.0+561701,56453.0,504.0,6796.0,2CXO J151616.0+561701,20830,2017-11-07,51.3
201125217010043,44,101125217010043,0112521701,55737,187.16271713912,44.030487319998,13000,4XMM J122839.0+440149,187.1628053080542,44.03059594409195,J122839.0+440150,56367.0,414.0,6636.0,2CXO J122839.0+440150,2031,2001-02-04,26.6
201123707010014,14,101123707010014,0112370701,55684,34.379855160162,-5.3057977383976,47648,4XMM J021731.1-051820,34.379757242761855,-5.305857653880196,J021731.1-051821,56605.0,463.0,7236.0,2CXO J021731.1-051821,17288,2015-10-02,48.6
202006301010012,12,102006301010012,0200630101,57392,134.9245135073,39.170027829899,27036,4XMM J085941.8+391011,134.92399453898753,39.16988027030593,J085941.7+391011,55973.0,742.0,4608.0,2CXO J085941.7+391011,6862,2006-01-26,14.9
200731403010015,21,108918003010021,0891800301,71622,241.24053036923,32.881867453004,28961,4XMM J160457.7+325254,241.2404088810074,32.88153257650129,J160457.6+325253,55719.0,723.0,4961.0,2CXO J160457.6+325253,2791,2002-01-07,20.4
200423413010006,6,100423413010006,0042341301,54301,354.38219602204,0.43308897456528,8999,4XMM J233731.7+002559,354.3824567106792,0.4332929204472137,J233731.7+002600,52525.0,493.0,682.0,2CXO J233731.7+002600,3248,2002-07-08,9.2
206050009015004,5,106050009015004,0605000901,61558,137.45325644036,10.942939356311,12675,4XMM J090948.6+105633,137.45255062424735,10.94286541896549,J090948.6+105634,53050.0,431.0,1739.0,2CXO J090948.6+105634,924,2000-10-02,29.8
202012301010003,4,102012301010003,0201230101,57461,326.04896184336,28.171915818837,32636,4XMM J214411.7+281018,326.04892893646206,28.171977706289177,J214411.7+281019,56190.0,778.0,5965.0,2CXO J214411.7+281019,9318,2008-01-08,8.0
201082602010142,128,101082602010142,0108260201,55129,186.44215753052,12.883810511743,81990,4XMM J122546.0+125301,186.44233378931585,12.883613997070755,J122546.1+125301,53120.0,559.0,1614.0,2CXO J122546.1+125301,318,2000-04-07,14.6
204044102010001,3,104044101010003,0404410101,59270,18.842491756583,0.25520005972557,45344,4XMM J011522.2+001518,18.84246855558638,0.2551929880827085,J011522.1+001518,52202.0,497.0,695.0,2CXO J011522.1+001518,3204,2002-11-01,37.6
201109302015076,34,108027107010034,0802710701,68586,150.49335428818,55.526337953009,19441,4XMM J100158.2+553135,150.49290180356007,55.5264832897039,J100158.3+553135,56011.0,80.0,5743.0,2CXO J100158.3+553135,7851,2006-12-27,4.7
201635601010016,16,101635601010016,0163560101,57293,197.20082190515,21.53862810975,30236,4XMM J130848.1+213218,197.2009218874075,21.538576888709525,J130848.2+213218,56047.0,542.0,5864.0,2CXO J130848.2+213218,2790,2002-05-21,19.2
200131401010032,9,102018304010009,0201830401,57505,213.2066000163,-3.1223769439619,22001,4XMM J141249.6-030720,213.2070914558974,-3.122107893524904,J141249.7-030719,52378.0,84.0,916.0,2CXO J141249.7-030719,358,2000-08-14,8.8
205601920010111,111,105601920010111,0560192001,61190,11.317237958292,-1.8312722726034,34419,4XMM J004516.1-014952,11.31656806772952,-1.8317078938270093,J004515.9-014954,55827.0,993.0,4369.0,2CXO J004515.9-014954,19588,2017-08-21,49.4
207619501010029,29,107619501010029,0761950101,65853,168.6544123954,12.871094544225,26542,4XMM J111437.0+125215,168.65445363389097,12.870800781616316,J111437.0+125215,56000.0,960.0,5364.0,2CXO J111437.0+125215,5629,2005-02-08,6.0
201128101010074,87,108612501010087,0861250101,70646,172.26347440995,58.535307789445,49561,4XMM J112903.3+583208,172.26442275855004,58.53573348327514,J112903.4+583208,56666.0,471.0,7099.0,2CXO J112903.4+583208,6227,2005-02-14,10.2
202046501010001,1,102046512010001,0204651201,57845,179.11783896595,55.125642637589,10197,4XMM J115628.2+550732,179.1173302056127,55.12516238500589,J115628.1+550730,52672.0,359.0,1018.0,2CXO J115628.1+550730,4845,2004-01-03,9.2
205006702010040,39,105006702010040,0500670201,59825,260.16256985917,26.563620392674,28538,4XMM J172039.0+263348,260.16295364908115,26.56362993327616,J172039.1+263348,55709.0,750.0,5016.0,2CXO J172039.1+263348,3224,2002-10-03,23.8
203002106010008,4,104021903010006,0402190301,59097,356.19319614068,9.0940278074302,26341,4XMM J234446.3+090538,356.1931274408752,9.09396200676222,J234446.3+090538,56190.0,740.0,6160.0,2CXO J234446.3+090538,4941,2004-05-17,16.1
