# ObsID,unabsorbed,model,Cstat,nH,nH error plus,nH error minus,gamma,gamma error plus,gamma error minus,0.3-7.5 flux,xflux error plus,xflux_error_minus,2-10 flux,flux210 error plus,flux210 error minus,Soft flux,fluxsoft error plus,fluxsoft error minus,Medium flux,fluxmed error plus,fluxmed error minus,Hard flux,fluxhard error plus,fluxhard error minus,Sum flux,fluxsum error plus,fluxsum error minus,Test Statistic,Ce,Cv,CXO name,RA,Dec,Z,galactic nH,counts,luminosity,luminosity error,Flux_OIII_5006,Flux_OIII_5006_err,Fx/F[OIII],Fx/F[OIII].1,compton thick,srcid,src_num,detid,observation_id,observation_oid,ra,dec,duration,IAUNAME,ra_2,dec_2,IAUstripped,MJD,FIBERID,PLATE,CSC21P_name,CHANDRA_OBSID, OBSDATE, TIME
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,48.0,101109302010047.0,0110930201,55368.0,150.24733607719,55.860503320264,20024.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,25.0,108027101010025.0,0802710101,68526.0,150.2468330222,55.860594317644,19841.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,52.0,108027108010052.0,0802710801,68914.0,150.24833296279,55.861490943654,22763.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,56.0,108027109010056.0,0802710901,68924.0,150.24856285188,55.861294079737,19162.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,31.0,108027102010031.0,0802710201,68529.0,150.24810844851,55.861548043041,19441.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,46.0,108027107010046.0,0802710701,68586.0,150.24877023581,55.861656474615,19441.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
2038,True,res,692.3183775054367,0.0399519811432403,0.1005323762875495,,1.9,,,3.800393936516758e-14,6.079969439579263e-15,6.079969439579263e-15,2.3207545725667303e-14,2.0878710290812822e-14,2.0878710290812822e-14,5.220012371899063e-15,3.8865092960767375e-14,3.8865092960767375e-14,1.5855861566650083e-14,2.8230412294523663e-14,2.8230412294523663e-14,1.0868696064664916e-14,3.3220858647128083e-14,3.3220858647128083e-14,3.1952423280662174e-14,1.2133312828060134e-14,1.2133312828060134e-14,ERROR,ERROR,ERROR,2CXO J100059.4+555140,150.24787934990104,55.86116342175639,0.28208083,0.00868,180,9.67932076366746e+42,1.5485230063523878e+42,28.15051,3.799006,135.00266732349638,28.256173080336,False,201109302010047.0,25.0,108027104010025.0,0802710401,68553.0,150.24814200176,55.861435962879,15764.0,4XMM J100059.4+555139,150.24787934990104,55.86116342175639,J100059.4+555140,56624.0,522.0,7084.0,2CXO J100059.4+555140,2038,2001-03-07,26.6
15229,True,ERROR,566.313564238927,0.0104958868964471,1.8463926100804509,,-1.2961499707850348,0.6520766921204797,0.6520766921204797,3.6160392987313286e-14,6.9155333078584146e-15,6.9155333078584146e-15,9.294326598417579e-14,4.9867192489537196e-14,4.9867192489537196e-14,6.072812200271716e-18,4.3070228227209033e-14,4.3070228227209033e-14,7.120756591230166e-16,4.2364290372277736e-14,4.2364290372277736e-14,8.758691416844631e-15,3.431857199398052e-14,3.431857199398052e-14,9.475669159038143e-15,3.360211207660239e-14,3.360211207660239e-14,14.572026231116121,273.06231075343413,404.98586508471334,2CXO J100141.9+020358,150.4248867555845,2.06614075852984,0.1247853,0.0177,63,1.495685692932343e+42,2.860440214571194e+41,131.1834,11.30257,27.564762757569383,5.781925380220476,False,202033608010075.0,140.0,106727801010142.0,0672780101,62595.0,150.42465310008,2.0659130922614,126275.0,4XMM J100141.9+020357,150.4248867555845,2.06614075852984,J100141.9+020358,52235.0,231.0,501.0,2CXO J100141.9+020358,15229,2013-05-10,49.0
15229,True,ERROR,566.313564238927,0.0104958868964471,1.8463926100804509,,-1.2961499707850348,0.6520766921204797,0.6520766921204797,3.6160392987313286e-14,6.9155333078584146e-15,6.9155333078584146e-15,9.294326598417579e-14,4.9867192489537196e-14,4.9867192489537196e-14,6.072812200271716e-18,4.3070228227209033e-14,4.3070228227209033e-14,7.120756591230166e-16,4.2364290372277736e-14,4.2364290372277736e-14,8.758691416844631e-15,3.431857199398052e-14,3.431857199398052e-14,9.475669159038143e-15,3.360211207660239e-14,3.360211207660239e-14,14.572026231116121,273.06231075343413,404.98586508471334,2CXO J100141.9+020358,150.4248867555845,2.06614075852984,0.1247853,0.0177,63,1.495685692932343e+42,2.860440214571194e+41,131.1834,11.30257,27.564762757569383,5.781925380220476,False,202033608010075.0,37.0,103023509010035.0,0302350901,58371.0,150.42493450665,2.0653541056799,16730.0,4XMM J100141.9+020357,150.4248867555845,2.06614075852984,J100141.9+020358,52235.0,231.0,501.0,2CXO J100141.9+020358,15229,2013-05-10,49.0
15229,True,ERROR,566.313564238927,0.0104958868964471,1.8463926100804509,,-1.2961499707850348,0.6520766921204797,0.6520766921204797,3.6160392987313286e-14,6.9155333078584146e-15,6.9155333078584146e-15,9.294326598417579e-14,4.9867192489537196e-14,4.9867192489537196e-14,6.072812200271716e-18,4.3070228227209033e-14,4.3070228227209033e-14,7.120756591230166e-16,4.2364290372277736e-14,4.2364290372277736e-14,8.758691416844631e-15,3.431857199398052e-14,3.431857199398052e-14,9.475669159038143e-15,3.360211207660239e-14,3.360211207660239e-14,14.572026231116121,273.06231075343413,404.98586508471334,2CXO J100141.9+020358,150.4248867555845,2.06614075852984,0.1247853,0.0177,63,1.495685692932343e+42,2.860440214571194e+41,131.1834,11.30257,27.564762757569383,5.781925380220476,False,202033608010075.0,66.0,102033608010075.0,0203360801,57698.0,150.42515810017,2.0664196087851,34793.0,4XMM J100141.9+020357,150.4248867555845,2.06614075852984,J100141.9+020358,52235.0,231.0,501.0,2CXO J100141.9+020358,15229,2013-05-10,49.0
